pdb,total_sasa,rl
seq_000211_model_0.pdb,9182.1027724519,4.08474409459
seq_000212_model_0.pdb,8789.355774669306,5.64446297819
seq_000213_model_0.pdb,9039.586217467197,4.41115714292
seq_000214_model_0.pdb,9084.647182566978,5.53225101285
seq_000215_model_0.pdb,9801.61575632571,2.90701720951
seq_000216_model_0.pdb,9883.958206340145,4.35555822639
seq_000217_model_0.pdb,9261.11375078742,4.05319063372
seq_000218_model_0.pdb,9827.056100626896,3.65611488611
seq_000219_model_0.pdb,9320.635703000258,5.47287422655
seq_000220_model_0.pdb,8737.563518718622,4.42108581626
seq_000221_model_0.pdb,9874.185990901671,5.81203708698
seq_000222_model_0.pdb,9075.679509440644,2.73281346744
seq_000223_model_0.pdb,8470.494916739446,7.61902523671
seq_000224_model_0.pdb,8827.894031259866,5.01906614295
seq_000225_model_0.pdb,9473.95233369137,5.32613899828
seq_000226_model_0.pdb,9429.789759585425,7.91587389575
seq_000227_model_0.pdb,9478.414191435484,3.70894535853
seq_000228_model_0.pdb,9442.959280754894,3.62421942917
seq_000229_model_0.pdb,9658.7266050186,5.5397396946
seq_000230_model_0.pdb,9247.01981736896,4.53734614025
seq_000231_model_0.pdb,9657.791148399338,3.32273349331
seq_000232_model_0.pdb,10043.99362497457,3.52205183361
seq_000233_model_0.pdb,9326.85625201171,5.0751544423
seq_000234_model_0.pdb,9815.726827363387,2.9284850609
seq_000235_model_0.pdb,9616.758679715833,3.48525679716
seq_000236_model_0.pdb,9570.752161144232,4.08823219981
seq_000237_model_0.pdb,8949.911385037794,4.39753166063
seq_000238_model_0.pdb,9076.473943771178,2.93336641926
seq_000239_model_0.pdb,8919.55514468004,6.27733755493
seq_000240_model_0.pdb,9471.470532728052,7.91710271601
seq_000241_model_0.pdb,9102.984157378332,3.46319198966
seq_000242_model_0.pdb,8721.527482677224,3.70161916225
seq_000243_model_0.pdb,9980.810883447512,3.06556436846
seq_000244_model_0.pdb,9702.436988076575,2.91702495883
seq_000245_model_0.pdb,9059.669334240523,3.16316359254
seq_000246_model_0.pdb,10209.935953561398,3.38704689806
seq_000247_model_0.pdb,9533.187224577088,3.7951643906
seq_000248_model_0.pdb,9412.550829750264,8.15539576385
seq_000249_model_0.pdb,9696.971133779798,3.28513752047
seq_000250_model_0.pdb,8211.66197227318,4.26122278496
seq_000251_model_0.pdb,8982.12727955857,7.9260359934
seq_000252_model_0.pdb,10029.940800595366,4.193415127
seq_000253_model_0.pdb,10139.513868768374,2.81157885534
seq_000254_model_0.pdb,9038.05979834425,3.67582587582
seq_000255_model_0.pdb,9518.20089968986,6.12614756497
seq_000256_model_0.pdb,8420.746056752387,7.41777661166
seq_000257_model_0.pdb,9257.115146757436,3.7221138718
seq_000258_model_0.pdb,9608.684608642268,2.71495491364
seq_000259_model_0.pdb,9063.61103151025,7.65068718136
seq_000260_model_0.pdb,8585.527710193786,5.20623243882
seq_000261_model_0.pdb,8398.707003736872,3.04126919858
seq_000262_model_0.pdb,9140.022061582247,4.49112525792
seq_000263_model_0.pdb,9811.848478510576,3.59324396221
seq_000264_model_0.pdb,8869.606186699933,5.27554661148
seq_000265_model_0.pdb,9647.115857486186,3.28532797471
seq_000266_model_0.pdb,10082.894233295428,3.23460928764
seq_000267_model_0.pdb,10351.299902063982,3.23360297749
seq_000268_model_0.pdb,9597.362664765054,3.20091205974
seq_000269_model_0.pdb,9154.523275840496,7.1720697273
seq_000270_model_0.pdb,9055.592260684094,7.89943965545
seq_000271_model_0.pdb,9625.456334216153,3.80839990671
